"Movie_Title","Year_of_Release"
"Vertigo","1958"
"The Innocents","1961"
"Lawrence of Arabia","1962"
"The Deer Hunter","1978"
"Amadeus","1984"
"Blade Runner","1982"
"Eyes Wide Shut","1999"
"The Usual Suspects","1995"
"Chinatown","1974"
"Boogie Nights","1997"
"Annie Hall","1977"
"Princess Mononoke","1997"
"The Shawshank Redemption","1994"
"American Beauty","1999"
"Titanic","1997"
"Good Will Hunting","1997"
"Deliverance","1972"
"Trainspotting","1996"
"The Prestige","2006"
"Donnie Darko","2001"
"Slumdog Millionaire","2008"
"Aliens","1986"
"Beyond the Sea","2004"
"Avatar","2009"
"Braveheart","1995"
"Seven Samurai","1954"
"Spirited Away","2001"
"Back to the Future","1985"
